Movie,Character_ID,Line_Index,Dialogue,Character
Deathly Hallows: Part 2,RON_72,3558,"RUN! Goyle’s set the bloody place on fire! As one, the trio dashes through the remaining aisles as the towers of junk turn to ash all around them. The flames draw closer, mutating into a pack of fiery beasts: SERPENTS, CHIMAERAS, DRAGONS -- all nipping at their heels. No matter which way they turn, the flames follow them.",RON
Deathly Hallows: Part 2,HERMIONE_32,1848,"(mildly shaken by this) I know. Hearing this, Harry slips the mirror from his pocket. FOOTSTEPS sound from below.",HERMIONE
Deathly Hallows: Part 2,RON_50,1799,"What’s he mean by that? Hermione GASPS, eyes looking upward. Ron and Harry follow her gaze. 44. 210C CONTINUED: 210C Just above the rooftops, barely distinguishable from the night, DEMENTORS DRIFT like smoke. As Harry draws his wand, Hermione’s hand covers his. She WHISPERS:",RON
Deathly Hallows: Part 2,DUMBLEDORE_17,4316,I was... foolish... greedy...,DUMBLEDORE
Deathly Hallows: Part 2,HERMIONE_9,903,"It is, Harry. Did Dumbledore ever say anything to you, something that might explain why --",HERMIONE
Deathly Hallows: Part 2,RON_45,1611,I say we jump!,RON
Deathly Hallows: Part 2,SNAPE_28,4286,He exhibits no measurable talent. His arrogance rivals even his father’s. And he seems to relish his fame.,SNAPE
Deathly Hallows: Part 2,DUMBLEDORE_15,4291,"Sometimes we see what we expect to see, Severus. Other teachers indicate the boy is modest, likeable and while no prodigy, possesses above-average gifts. Personally, I find him rather engaging.",DUMBLEDORE
Deathly Hallows: Part 2,RON_43,1583,"That was brilliant! BRILLIANT! Ron looks down, realizes he’s on a dragon, several hundred feet in the air. Goes a bit green.",RON
Deathly Hallows: Part 2,RON_64,2974,What did you expect it to be like?,RON
Deathly Hallows: Part 2,HERMIONE_39,2115,They did that to you? But why?,HERMIONE
Deathly Hallows: Part 2,RON_6,410,"Sss. Harry looks up, sees Ron gesturing for him. Quickly, he takes the Snitch, slips it in his pocket.",RON
Deathly Hallows: Part 2,RON_55,2252,"Six months she hasn’t seen me and it’s like I’m Frankie First Year. I mean, I’m only her brother.",RON
Deathly Hallows: Part 2,SNAPE_35,4360,You ask too much.,SNAPE
Deathly Hallows: Part 2,RON_62,2960,I’ve never got this far before.,RON
Deathly Hallows: Part 2,RON_32,1320,"No. It’s not possible... 194 INT. OUTSIDE LESTRANGE VAULT - DAY (MOMENTS LATER) 194 Ron appears first, trailed by Harry and Hermione, and finds Bogrod standing placidly by himself. As Harry and Hermione hang back, Ron moves forward slowly, squinting. Something massive shifts heavily. CHAINS CLINK. He looks: a GIANT DRAGON tethered to the ground, bars access to a DEEP VAULT. Its scales are pale and flaky, its eyes milky.",RON
Deathly Hallows: Part 2,DUMBLEDORE_33,4653,"You cannot help. Harry spins, finds Dumbledore standing within the mist. At the sight of Harry, Dumbledore beams and spreads his arms wide. His hand is whole, no longer damaged.",DUMBLEDORE
Deathly Hallows: Part 2,HERMIONE_13,1354,"That’s barbaric. I... 33. 194 CONTINUED: 194 She hands the instrument back, horrified. Griphook takes it, unmoved.",HERMIONE
Deathly Hallows: Part 2,DUMBLEDORE_28,4386,There’s a reason Harry can speak with snakes. There’s a reason he can look into Lord Voldemort’s mind. A part of Lord Voldemort lives inside him. 106. 324 CONTINUED: (2) 324,DUMBLEDORE
Deathly Hallows: Part 2,HERMIONE_50,3401,"Brilliant. 279 OMITTED 279 280 INT. DESTROYED WOODEN CORRIDOR - NIGHT (MOMENTS LATER) 280 Ron and Hermione race through the SHATTERED GLASS, the smoke thinner now. We TRACK them TO the end of the corridor and INTO another, where TAPESTRIES BURN and PORTRAITS hang askew. Suddenly, Hermione grabs Ron’s hand, gestures ahead, where Draco, Blaise and Goyle are slipping around a corner. Ron and Hermione follow. 281 INT. CORRIDOR OUTSIDE ROOM OF REQUIREMENT - NIGHT 281 Draco stops, turns to face the wall and CLOSES HIS EYES. As the window behind EXPLODES, filling the corridor with SMOKE, Goyle and Blaise jump, but Draco never flinches.",HERMIONE
Deathly Hallows: Part 2,RON_34,1349,"It’s been trained to expect pain when it hears the noise. Hermione’s eyes flash to Ron, then to the SCARS on the dragon’s face and neck.",RON
Deathly Hallows: Part 2,SNAPE_10,3935,"Take them... Harry looks confused, hesitant.",SNAPE
Deathly Hallows: Part 2,RON_3,337,Let her go! Let her go!,RON
Deathly Hallows: Part 2,DUMBLEDORE_57,4832,"I have always prized my ability to turn a phrase -- words are, in my not so humble opinion, our most inexhaustible source of magic, capable both of inflicting injury and remedying it. But I would -- in this case -- amend my original statement to this: (leaning close) Help will always be given at Hogwarts to those who most deserve it... (leaning back) Assuming circumstances in the main are favorable to such an outcome, of course.",DUMBLEDORE
Deathly Hallows: Part 2,DUMBLEDORE_2,4191,"Stand up, Severus. I haven’t much time. What message do you bring from Lord Voldemort this time?",DUMBLEDORE
Deathly Hallows: Part 2,HERMIONE_36,2039,"Did save our lives twice. Kept an eye on us in that mirror. That doesn’t seem like someone who’s given up, does it? Ron and Harry exchange a glance, eye the empty doorway.",HERMIONE
Deathly Hallows: Part 2,RON_68,3375,"What? As Hermione points to Harry’s name amidst the ant colony on the parchment, Ron -- unbeknownst to her -- regards her with naked appreciation.",RON
Deathly Hallows: Part 2,HERMIONE_10,916,"It’s perfect. Thank you, Fleur. Fleur lays the cloak in Hermione’s hands, then steps back next to Bill. He studies the trio.",HERMIONE
Deathly Hallows: Part 2,SNAPE_40,4418,"Always... We GO TO BLACK... FADE IN: 325 INT. PORTER HOUSE - BEDROOM - NIGHT (YEARS PAST) 325 In the f.g., a BABY FIDGETS in its crib. We see Snape enter the room, glance at the baby, then down toward the floor. He stands, utterly still... then his face creases with pain. Lily lies in profile, eyes open but empty, staring toward the ceiling. Her chest is still. Snape leans down and, cradling her, begins to weep...",SNAPE
Deathly Hallows: Part 2,HERMIONE_52,3578,Do we climb!,HERMIONE
Deathly Hallows: Part 2,HERMIONE_7,876,Can’t I use the other?,HERMIONE
Deathly Hallows: Part 2,SNAPE_3,2323,"For myself and a few select members of the staff this comes as little surprise. We have, for some time, considered Mr. Potter’s return to Hogwarts to be not only possible but inevitable. Consequently, in the past several months and under my specific direction, exhaustive defensive strategies have been employed to defeat any attempt Mr. Potter might make to breach these walls. But know this. Should anyone -- student or staff -- attempt to aid Mr. Potter, that person will be punished in a manner consistent with the severity of their transgression. Rest assured: So long as I am Headmaster at Hogwarts, Harry Potter will never again step foot in this castle. As APPLAUSE erupts from the Slytherins, Maisy Reynolds, glowers over at them. Snape raises a hand. The room returns to silence.",SNAPE
Deathly Hallows: Part 2,SNAPE_21,4226,I have asked.,SNAPE
Deathly Hallows: Part 2,DUMBLEDORE_55,4824,Yes.,DUMBLEDORE
Deathly Hallows: Part 2,SNAPE_30,4313,Why did you put it on? Surely you realized it carried a curse.,SNAPE
Deathly Hallows: Part 2,RON_54,2228,Excuse me. But would someone tell me: what’s a bloody diadem?,RON
Deathly Hallows: Part 2,RON_82,4003,"Never! Do you hear me! NEVER! Hermione places her hand on the nape of his neck, glances at Harry. He gazes down at Snape’s still body one last time, then at the FLASK in his hand. 306 EXT. HOGWARTS - GROUNDS - NIGHT (MOMENTS LATER) 306 SMOKE drifts from the battered castle. 307 EXT. COURTYARD - SAME TIME - NIGHT 307 Deserted. The flagstone stained with blood, strewn with broken wands. The trio stands looking.",RON
Deathly Hallows: Part 2,HERMIONE_5,749,"Harry, are you thinking there’s a Horcrux in Bellatrix’s vault?",HERMIONE
Deathly Hallows: Part 2,HERMIONE_63,5709,"Can’t make an omelette without breaking a few eggs. Ron gives her a screwy look. She shakes her head wearily, frowns.",HERMIONE
Deathly Hallows: Part 2,HERMIONE_21,1532,We can’t just stand here! Who’s got an idea?,HERMIONE
Half-Blood Prince,DUMBLEDORE_110,5428,"Because I am much older, much cleverer... and much less valuable. (taking the goblet) Your good health, Harry. Dumbledore dips the goblet into the gleaming liquid and brings it to his lips. Drinks deep. Closes his eyes.",DUMBLEDORE
Half-Blood Prince,RON_1,666,Harry? Did someone say Harry?,RON
Half-Blood Prince,DUMBLEDORE_4,348,"Welcome to the charming village of Budleigh Babberton, Harry. I assume right about now you’re wondering why I’ve brought you here, am I right?",DUMBLEDORE
Half-Blood Prince,DUMBLEDORE_106,5393,"Remember... the water. Harry nods, steps out carefully and joins Dumbledore at the source of the GLOW -- a BASIN filled with a PHOSPHORESCENT LIQUID. Dumbledore extends the tips of his blackened fingers toward the basin, but cannot touch the liquid.",DUMBLEDORE
Half-Blood Prince,RON_16,941,"Harry, where is she?",RON
Half-Blood Prince,DUMBLEDORE_66,3804,"You’re the Chosen One, Harry. And Horace is, at heart, a decent man. Provide the proper circumstances and he will confess his sins. Dumbledore lifts his fingers from the Pensieve, studies them. They are, in this moment, iridescent, whole.",DUMBLEDORE
Half-Blood Prince,RON_25,1293,"(shrugging; still eating) Sorting Hat urged us all to be brave and strong in these troubled times -- easy for it to say -- it’s a hat, isn’t it? First Years seemed to enjoy it, though. Wankers. Filch give you the wand outside? Harry nods. Ginny, damp napkin in hand, begins to dab his face, then feels suddenly awkward. Harry takes it from her.",RON
Half-Blood Prince,DUMBLEDORE_53,1898,"Thievery is not tolerated at Hogwarts. At Hogwarts, you will be taught not only how to use magic, but to control it. Understood? (as Riddle nods) I’ll be going now, Tom. Leave your window open tonight. An owl will bring you a message. Read it carefully. Dumbledore starts to exit, when:",DUMBLEDORE
Half-Blood Prince,DUMBLEDORE_113,5463,Make it stop... Please... make it stop...,DUMBLEDORE
Half-Blood Prince,RON_29,1997,Hard feelings? HARRY POTTER... HALF-BLOOD PRINCE - Rev. 11/6/07 47. 50 CONTINUED: 50,RON
Half-Blood Prince,DUMBLEDORE_60,3765,Confused? I would be surprised if you weren’t.,DUMBLEDORE
Half-Blood Prince,RON_4,728,Mum sort of lost it last week. Said Ginny and I had no business going back to Hogwarts. That it’s too dangerous.,RON
Half-Blood Prince,RON_41,2322,That happens to be my sister.,RON
Half-Blood Prince,RON_14,925,What’re they playing at?,RON
Half-Blood Prince,HERMIONE_42,2374,"Be delighted, sir.",HERMIONE
Half-Blood Prince,HERMIONE_89,4350,"That’s Katie. That’s Katie Bell. Katie Bell, pale but smiling, greets the other girls. After a moment, she looks up. Finds Harry standing before her.",HERMIONE
Half-Blood Prince,SNAPE_1,133,"Run along, Wormtail. 10 INT. MILL HOUSE - SITTING ROOM - LATE AFTERNOON (MOMENTS 10 LATER) Snape fills the last of three goblets with wine.",SNAPE
Half-Blood Prince,RON_70,3668,"Lav, c’mon. Of course I’ll wear it. They glance ahead, see Ron and a pouting Lavender. Ron holds a GOLD CHAIN which spells out “My Sweetheart.”",RON
