movie,character,speech_id,text
half_blood_prince_all_speeches,DUMBLEDORE,65,Mind if I take this? I do love knitting patterns.
half_blood_prince_all_speeches,DUMBLEDORE,67,"I think I know a lost cause when I see one. Regrettable. I would have considered it a personal triumph had you consented to return to Hogwarts, Horace. You are, like my friend Mr. Potter -- one of a kind."
half_blood_prince_all_speeches,DUMBLEDORE,70,"You are talented, famous and powerful -- everything Horace values. Professor Slughorn is going to try to collect you, Harry. You would be his crowning"
half_blood_prince_all_speeches,DUMBLEDORE,71,"I fear I may have stolen a wondrous night from you, Harry."
half_blood_prince_all_speeches,DUMBLEDORE,73,"You’ll not be going back to Little Whinging tonight, Harry."
half_blood_prince_all_speeches,DUMBLEDORE,75,Both are waiting for you.
half_blood_prince_all_speeches,DUMBLEDORE,178,"Professor Slughorn, I’m happy to"
half_blood_prince_all_speeches,DUMBLEDORE,179,"Now, as you know, each and every one of you was searched upon your arrival tonight. You have a right to know why."
half_blood_prince_all_speeches,DUMBLEDORE,180,"Today, of course, the world knows"
half_blood_prince_all_speeches,DUMBLEDORE,181,"Just something to keep in mind. Now, off to bed. Pip pip!"
half_blood_prince_all_speeches,DUMBLEDORE,215,"Good evening, Harry. You got my message, I see. Come, come. Sit."
half_blood_prince_all_speeches,DUMBLEDORE,216,So. How are you?
half_blood_prince_all_speeches,DUMBLEDORE,218,"Enjoying your classes? Professor Slughorn, for one, is most impressed with you."
half_blood_prince_all_speeches,DUMBLEDORE,220,Do you?
half_blood_prince_all_speeches,DUMBLEDORE,222,And what of your activities
half_blood_prince_all_speeches,DUMBLEDORE,224,I notice you spend a great deal of time with Miss Granger. One can’t help but wonder if --
half_blood_prince_all_speeches,DUMBLEDORE,226,"Forgive me, Harry, I..."
half_blood_prince_all_speeches,DUMBLEDORE,227,... I was merely curious.
half_blood_prince_all_speeches,DUMBLEDORE,228,What you see before you are memories. In this case pertaining to one individual: Voldemort. Or
half_blood_prince_all_speeches,DUMBLEDORE,229,This vial contains a most particular memory -- of the day I first met him. I’d like you to see it. If you would...
half_blood_prince_all_speeches,DUMBLEDORE,231,I am not family. But his name has been known to me since birth.
half_blood_prince_all_speeches,DUMBLEDORE,234,Perhaps you could give me an example.
half_blood_prince_all_speeches,DUMBLEDORE,236,"How do you do, Tom."
half_blood_prince_all_speeches,DUMBLEDORE,239,"As you wish. Riddle looks away and Dumbledore, for the first time,"
half_blood_prince_all_speeches,DUMBLEDORE,241,No. I am a Professor.
half_blood_prince_all_speeches,DUMBLEDORE,244,Hogwarts is not a place for mad people.
half_blood_prince_all_speeches,DUMBLEDORE,245,"It’s a school. A school of... magic. Riddle stays looking, but says nothing."
half_blood_prince_all_speeches,DUMBLEDORE,246,"You can do things, can’t you, Tom? Things the other children can’t. Riddle eyes Dumbledore intensely, unblinking."
half_blood_prince_all_speeches,DUMBLEDORE,248,"Tell me some of the things you can do, Tom."
half_blood_prince_all_speeches,DUMBLEDORE,250,"I’m like you, Tom. Different."
half_blood_prince_all_speeches,DUMBLEDORE,252,"I think there is something trying to get out of your wardrobe, Tom. Open it. Open. It."
half_blood_prince_all_speeches,DUMBLEDORE,253,"Take it out. As Riddle’s fingers touch the box, the flames engulfing"
half_blood_prince_all_speeches,DUMBLEDORE,254,Is there anything in that box you ought not to have?
half_blood_prince_all_speeches,DUMBLEDORE,255,"Why did you want these things, Tom?"
half_blood_prince_all_speeches,DUMBLEDORE,256,"Thievery is not tolerated at Hogwarts. At Hogwarts, you will be taught not only how to use magic, but to control it. Understood?"
